API Name,Cut Off Age(year),Percentage Of Recent,Percentage Of Established,Block List,Must Include List,Number of Common Passed Tests,Selected Test Count
IndexedDB,2,80,80,[],[],209,170
WebCryptoAPI,2,85,90,[],[],1,1
webaudio,2,15,35,[],[],86,14
encrypted-media,2,80,90,[],[],0,0
websockets,2,35,35,[],[],59,23
fullscreen,2,80,80,[],[],0,0
xhr,2,35,65,[],[],186,89
webgl,2,0,25,[],[],643,161
html,2,0,20,[],[],864,161
webmessaging,2,35,35,[],[],85,37
service-workers,2,100,100,[],[],75,75
webstorage,2,35,55,[],[],18,11
css/compositing,2,50,55,[],[],0,0
css/css-animations,2,50,55,[],[],0,0
css/css-backgrounds,2,50,55,[],[],5,2
css/css-cascade,2,50,55,[],[],0,0
css/css-color,2,50,55,[],[],0,0
css/css-conditional,2,50,55,[],[],0,0
css/css-flexbox,2,50,55,[],[],79,28
css/css-fonts,2,50,55,[],[],2,2
css/css-images,2,50,55,[],[],0,0
css/css-multicol,2,50,55,[],[],2,1
css/css-syntax,2,50,55,[],[],12,7
css/css-transforms,2,50,55,[],[],8,4
css/css-transitions,2,50,55,[],[],6,4
css/css-ui,2,100,100,[],[],1,1
css/css-values,2,100,100,[],[],1,1
css/css-writing-modes,2,50,55,[],[],0,0
css/CSS2,2,50,55,[],[],14,8
css/cssom-view,2,50,55,[],[],24,14
css/mediaqueries,2,50,55,[],[],0,0
css/selectors,2,50,55,[],[],49,28
page-visibility,2,100,100,[],[],3,3
2dcontext,2,5,10,[],[],633,71
uievents,2,100,100,[],[],6,6
media-source,2,90,95,[],[],2,2
notifications,2,100,100,[],[],1,1
wave_extra,2,50,50,[],[],0,0
content-security-policy,2,20,25,[],[],124,23
dom,2,35,35,[],[],194,68
fetch,2,35,35,[],[],59,25
FileAPI,2,100,100,[],[],8,8
ecmascript/tests/annexB,2,35,35,[],[],36,12
ecmascript/tests/built-ins,2,10,10,[],[],9675,902
ecmascript/tests/harness,2,35,35,[],[],53,15
ecmascript/tests/intl402,2,35,35,[],[],130,38
ecmascript/tests/language,2,15,15,[],[],3456,485
workers,2,35,35,[],[],105,39
